,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
3989,RM Education Solutions,Education & Training ,3.6,192 Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
3990,Vinati Organics,Chemicals ,3.8,192 Reviews,35 years old,Job Security,"Company Culture, Promotions / Appraisal, Work Satisfaction"
3991,Klaus IT Solutions,IT Services & Consulting ,3.6,191 Reviews,13 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
3992,Konica Minolta,Industrial Machinery ,4.0,191 Reviews,24 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
3993,Doubletree By Hilton,Hospitality ,3.9,191 Reviews,55 years old,"Skill Development / Learning, Work Life Balance",
3994,Aspiro Pharma,Pharma ,3.7,191 Reviews,12 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
3995,Zuari Agro Chemicals,Agro Chemicals ,4.1,190 Reviews,57 years old,"Promotions / Appraisal, Salary & Benefits",
3996,Jagran Prakashan,Printing & Publishing ,4.0,190 Reviews,49 years old,"Promotions / Appraisal, Salary & Benefits",
3997,Insecticides India,Agro Chemicals ,4.5,188 Reviews,22 years old,"Job Security, Work Life Balance, Salary & Benefits",
3998,Brane Enterprises,Software Product ,3.3,201 Reviews,7 years old,"Work Satisfaction, Company Culture, Promotions / Appraisal",
3999,Atmecs Technologies,IT Services & Consulting ,3.5,194 Reviews,11 years old,"Job Security, Promotions / Appraisal, Company Culture",
4000,GlobalStep,IT Services & Consulting ,3.2,193 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4001,Kamineni Hospitals,Healthcare ,4.2,193 Reviews,29 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
4002,Ensono,IT Services & Consulting ,4.2,193 Reviews,55 years old,"Work Life Balance, Company Culture, Salary & Benefits",
4003,Xplore-Tech Services,BPO ,3.2,192 Reviews,20 years old,"Promotions / Appraisal, Job Security, Company Culture",
4004,PPD,Pharma ,4.1,192 Reviews,68 years old,"Company Culture, Work Life Balance, Job Security",
4005,Alghanim International,Engineering & Construction ,4.2,191 Reviews,64 years old,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal
4006,Presto Infosolutions,Hardware & Networking ,4.0,191 Reviews,24 years old,"Promotions / Appraisal, Job Security",
4007,Cogenthub,BPO ,2.8,191 Reviews,8 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
4008,Savex Technologies,Other ,4.4,191 Reviews,38 years old,"Company Culture, Job Security, Work Life Balance",
4009,The Co-operative Bank,Banking ,4.2,190 Reviews,152 years old,"Work Life Balance, Work Satisfaction, Job Security",
4010,Hummingwave Technologies,IT Services & Consulting ,4.9,190 Reviews,11 years old,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
4011,American Express Global Business Travel,Travel & Tourism ,4.2,190 Reviews,8 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
4012,Emirates Flight Catering,Hospitality ,4.3,190 Reviews,42 years old,"Skill Development / Learning, Job Security, Company Culture",
4013,Zovian Technologies,IT Services & Consulting ,4.9,189 Reviews,8 years old,"Work Life Balance, Company Culture, Work Satisfaction",
4014,Carnival Cinemas,Media & Entertainment ,3.2,189 Reviews,12 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4015,Krishnapatnam Port,Ports & Shipping ,4.1,189 Reviews,16 years old,"Job Security, Work Satisfaction, Skill Development / Learning",
4016,Lion Engineering Consultants,Engineering & Construction ,3.8,189 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4017,Goibibo,Internet ,4.3,188 Reviews,17 years old,"Company Culture, Job Security, Work Life Balance",
4018,Shiash Info Solutions,IT Services & Consulting ,3.4,200 Reviews,,"Salary & Benefits, Job Security, Promotions / Appraisal",
4019,Airbnb,Internet ,4.0,194 Reviews,16 years old,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
4020,Kd Logistics,Logistics ,4.0,191 Reviews,19 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4021,ICICI Direct,Financial Services ,3.8,190 Reviews,29 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
4022,Regency Hospital,Healthcare ,4.2,190 Reviews,29 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
4023,Aegis Logistics,Oil & Gas ,4.0,190 Reviews,68 years old,"Job Security, Work Life Balance",
4024,B4S Solutions,Law Enforcement & Security ,4.1,190 Reviews,35 years old,"Work Satisfaction, Work Life Balance, Company Culture",
4025,Guiltfree Industries,FMCG ,3.8,190 Reviews,8 years old,Salary & Benefits,"Promotions / Appraisal, Job Security"
4026,Apollo Diagnostics,Healthcare ,4.2,190 Reviews,9 years old,"Skill Development / Learning, Company Culture, Job Security",
4027,Chennai Petroleum Corporation,Oil & Gas ,4.5,190 Reviews,59 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
4028,Lumax Auto Technologies Ltd,Auto Components ,4.3,190 Reviews,43 years old,"Job Security, Company Culture, Salary & Benefits",
4029,Hgs Services,Analytics & KPO ,4.0,190 Reviews,24 years old,"Job Security, Company Culture, Work Life Balance",
4030,Genisys Group,IT Services & Consulting ,3.8,189 Reviews,39 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4031,AvenData GmbH,IT Services & Consulting ,3.4,188 Reviews,,"Job Security, Promotions / Appraisal, Company Culture",
4032,Accord Synergy,Hardware & Networking ,4.2,188 Reviews,10 years old,"Job Security, Promotions / Appraisal",
4033,Shorthills AI,Emerging Technologies ,4.6,188 Reviews,6 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4034,Arun Excello,Real Estate ,3.5,187 Reviews,37 years old,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",
4035,Incture Technologies,IT Services & Consulting ,2.8,192 Reviews,18 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4036,STYLAM Industries,Engineering & Construction ,3.6,191 Reviews,33 years old,"Job Security, Company Culture, Promotions / Appraisal",
4037,Aqualite India,Fashion & Textile ,3.8,191 Reviews,16 years old,"Promotions / Appraisal, Job Security, Company Culture",
4038,ARCADIS,IT Services & Consulting ,4.3,191 Reviews,15 years old,"Job Security, Company Culture, Work Life Balance",
4039,MR.DIY,Retail ,3.5,191 Reviews,,"Company Culture, Work Life Balance, Work Satisfaction",
4040,Nippon Express,Logistics ,4.2,190 Reviews,77 years old,"Job Security, Company Culture, Work Life Balance",
4041,Toyota Material Handling,Industrial Machinery ,3.6,190 Reviews,68 years old,Salary & Benefits,"Job Security, Work Life Balance, Work Satisfaction"
4042,KLJ GROUP,Petrochemicals ,3.7,190 Reviews,57 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
4043,The New India Assurance Co.,Insurance ,4.6,190 Reviews,105 years old,"Job Security, Work Life Balance, Company Culture",
4044,Brawn Laboratories,Healthcare ,3.4,190 Reviews,34 years old,"Company Culture, Promotions / Appraisal, Salary & Benefits",
4045,Income Tax Department India,Government ,4.4,189 Reviews,164 years old,"Work Life Balance, Company Culture, Work Satisfaction",
4046,HDFC Asset Management Company,,4.0,189 Reviews,25 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
4047,Bombay Dyeing,Fashion & Textile ,3.8,189 Reviews,145 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4048,Infoesearch Ites,Media & Entertainment ,3.3,189 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4049,Sandvik Mining and Rock Technology,Industrial Machinery ,4.3,189 Reviews,,"Salary & Benefits, Job Security, Skill Development / Learning",
4050,Bandhan KOnnagar,Non-Profit ,3.7,189 Reviews,23 years old,"Job Security, Promotions / Appraisal, Company Culture",
4051,Technocon Services,Telecom ,3.2,189 Reviews,42 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
4052,Asia-Pacific Institute of Management,Education & Training ,4.3,188 Reviews,28 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
4053,ARCIS e Services,BPO ,3.6,188 Reviews,37 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4054,Canvera,Printing & Publishing ,3.1,188 Reviews,17 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4055,Sri Gopikrishna Infrastructure,Engineering & Construction ,3.8,188 Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4056,National Highways Authority of India,Engineering & Construction ,4.1,188 Reviews,36 years old,"Work Life Balance, Work Satisfaction, Company Culture","Promotions / Appraisal, Job Security"
4057,Faiveley Transport,,4.0,188 Reviews,155 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4058,Beam Suntory,Beverage ,4.3,188 Reviews,10 years old,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
4059,Modern V.R. Security Force,Law Enforcement & Security ,4.3,186 Reviews,40 years old,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
4060,Cipla Industries,Pharma ,4.1,186 Reviews,26 years old,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",
4061,Brink's,Logistics ,4.3,185 Reviews,165 years old,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
4062,Internshala,EdTech ,4.0,195 Reviews,14 years old,"Work Life Balance, Company Culture, Work Satisfaction",Salary & Benefits
4063,Normet,Industrial Machinery ,3.9,194 Reviews,62 years old,Job Security,Promotions / Appraisal
4064,Reecomps Teleservices,Telecom ,4.0,191 Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits",
4065,InnovationM,IT Services & Consulting ,3.9,191 Reviews,14 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4066,AM Infoweb,BPO ,3.8,190 Reviews,16 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",
4067,Danone Foods Beverages,Food Processing ,3.5,189 Reviews,105 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
4068,Reliance Securities,Financial Services ,4.0,189 Reviews,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4069,Balrampur Chini Mills,Food Processing ,4.2,188 Reviews,49 years old,"Salary & Benefits, Skill Development / Learning",
4070,S G Encon,Engineering & Construction ,3.8,188 Reviews,16 years old,"Promotions / Appraisal, Company Culture, Job Security",
4071,Marathon Realty,Real Estate ,4.1,188 Reviews,55 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4072,Welspun Global Brands,Fashion & Textile ,3.8,187 Reviews,24 years old,Skill Development / Learning,"Promotions / Appraisal, Job Security, Work Satisfaction"
4073,MUNDRA SOLAR TECHNOPARK,Industrial Machinery ,4.0,187 Reviews,9 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
4074,MidasCare Pharmaceuticals,Pharma ,3.5,187 Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4075,Stelmec,Electronics Manufacturing ,3.6,187 Reviews,40 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4076,TALENTEDGE,EdTech ,3.3,187 Reviews,12 years old,"Work Life Balance, Job Security, Work Satisfaction",
4077,Gopaljee Dairy Foods,Food Processing ,4.1,186 Reviews,35 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4078,Parle Elizabeth Tools,Industrial Machinery ,3.7,186 Reviews,16 years old,Promotions / Appraisal,
4079,Matrix Cellular Services,Telecom ,3.5,186 Reviews,29 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4080,Global Hospital Pune India,,3.8,186 Reviews,12 years old,Company Culture,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
4081,Fortune Park Hotels,Hospitality ,4.1,179 Reviews,29 years old,"Job Security, Company Culture, Work Life Balance",
4082,KANINI Software Solutions,IT Services & Consulting ,4.1,195 Reviews,21 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
4083,Grassroots BPO,BPO ,3.9,190 Reviews,13 years old,"Salary & Benefits, Promotions / Appraisal",
4084,Oriental Carbon & Chemicals,Chemicals ,4.2,189 Reviews,46 years old,"Job Security, Work Life Balance, Company Culture",
4085,Hindustan Latex Family Planning Promotion Trust,Healthcare ,3.8,189 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4086,ICRA Analytics,Analytics & KPO ,3.8,189 Reviews,25 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
4087,Link Group,Financial Services ,3.8,188 Reviews,,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4088,Shopclues,Internet ,3.8,188 Reviews,13 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Job Security"
4089,Touchstone Educationals,Education & Training ,3.4,188 Reviews,26 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
4090,Innoplexus,IT Services & Consulting ,3.9,188 Reviews,9 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
4091,Dbs Mintek,Financial Services ,3.6,187 Reviews,16 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
4092,Teleindia Networks,Telecom ,3.9,187 Reviews,18 years old,Skill Development / Learning,Promotions / Appraisal
4093,MEP Infrastructure Developers,Engineering & Construction ,3.6,186 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4094,Geetanjali Medical College and Hospital,Healthcare ,4.6,186 Reviews,17 years old,"Skill Development / Learning, Work Life Balance, Job Security",
4095,General Energy Management Systems,Industrial Machinery ,4.0,186 Reviews,25 years old,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
4096,Bacardi,Beverage ,3.9,186 Reviews,162 years old,Salary & Benefits,Promotions / Appraisal
4097,FOX Solutions,Industrial Machinery ,3.8,186 Reviews,29 years old,"Job Security, Skill Development / Learning","Work Life Balance, Company Culture"
4098,Galaxy Weblinks,IT Services & Consulting ,3.9,185 Reviews,24 years old,"Work Life Balance, Company Culture",
4099,AISATS,Aviation ,3.6,185 Reviews,16 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4100,Azmeel Contracting,Engineering & Construction ,2.9,185 Reviews,36 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4101,Amelia,,3.0,185 Reviews,,"Company Culture, Promotions / Appraisal, Work Satisfaction",
4102,Qatar Petroleum,Oil & Gas ,4.6,184 Reviews,50 years old,"Salary & Benefits, Company Culture, Work Satisfaction",
4103,Synokem Pharmaceuticals,Pharma ,4.0,194 Reviews,41 years old,"Work Life Balance, Job Security",Promotions / Appraisal
4104,Hero Housing Finance,Financial Services ,3.9,193 Reviews,7 years old,"Skill Development / Learning, Company Culture",
4105,Spectraforce Technologies,Recruitment ,3.7,191 Reviews,20 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
4106,Annexmed,BPO ,3.4,189 Reviews,20 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4107,Pitaara,Food Processing ,4.4,189 Reviews,,"Company Culture, Job Security, Skill Development / Learning",
4108,Electropneumatics & Hydraulics (I),Industrial Machinery ,4.0,189 Reviews,52 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
4109,JSG Group,Auto Components ,3.7,188 Reviews,14 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
4110,Laxmi Civil Engineering Services,Engineering & Construction ,4.3,187 Reviews,24 years old,"Company Culture, Job Security, Work Satisfaction",
